biomicsID	L-code	Type
I20-1101-01	L-6470	Somatic
I20-1101-02	L-6471	Somatic
I20-1101-03	L-6472	Somatic
I20-1101-04	L-6473	Somatic
I20-1101-05	L-6475	Somatic
I20-1101-06	L-6480	Somatic
I20-1101-07	L-6484	Somatic
I20-1101-08	L-6486	Somatic
I20-1101-09	L-6501	Somatic
I20-1101-10	L-6503	Somatic
I20-1101-11	L-6504	Somatic
I20-1101-12	L-6509	Somatic
I20-1101-13	L-6510	Somatic
I20-1101-14	L-6521	Somatic
I20-1101-15	L-6541	Somatic
I20-1101-16	L-6543	Somatic
I20-1101-17	L-6547	Somatic
I20-1101-18	L-6548	Somatic
I20-1101-19	L-6555	Somatic
I20-1101-20	L-6556	Somatic
I20-1101-21	L-6557	Somatic
I20-1101-22	L-6558	Somatic
I20-1101-23	L-6562	Somatic
I20-1101-24	L-6565	Somatic
I20-1101-25	L-6567	Somatic
I20-1101-26	L-6568	Somatic
I20-1101-27	L-6570	Somatic
I20-1101-28	L-6574	Somatic
I20-1101-29	L-6584	Somatic
I20-1101-30	L-6585	Somatic
I20-1101-31	L-6596	Somatic
I20-1101-32	L-6465	Somatic
I20-1101-33	L-6466	Somatic
I20-1101-34	L-6467	Somatic
I20-1101-35	L-6468	Somatic
I20-1101-36	L-6469	Somatic
I20-1101-37	L-6474	Somatic
I20-1101-38	L-6476	Somatic
I20-1101-39	L-6477	Somatic
I20-1101-40	L-6478	Somatic
I20-1101-41	L-6479	Somatic
I20-1101-42	L-6481	Somatic
I20-1101-43	L-6482	Somatic
I20-1101-44	L-6483	Somatic
I20-1101-45	L-6485	Somatic
I20-1101-46	L-6487	Somatic
I20-1101-47	L-6488	Somatic
I20-1101-48	L-6489	Somatic
I20-1113-01	L-6490	Somatic
I20-1113-02	L-6491	Somatic
I20-1113-03	L-6492	Somatic
I20-1113-04	L-6493	Somatic
I20-1113-05	L-6494	Somatic
I20-1113-06	L-6495	Somatic
I20-1113-07	L-6496	Somatic
I20-1113-08	L-6497	Somatic
I20-1113-09	L-6498	Somatic
I20-1113-10	L-6499	Somatic
I20-1113-11	L-6500	Somatic
I20-1113-12	L-6502	Somatic
I20-1113-13	L-6505	Somatic
I20-1113-14	L-6506	Somatic
I20-1113-15	L-6507	Somatic
I20-1113-16	L-6508	Somatic
I20-1113-17	L-6511	Somatic
I20-1113-18	L-6512	Somatic
I20-1113-19	L-6513	Somatic
I20-1113-20	L-6514	Somatic
I20-1113-21	L-6515	Somatic
I20-1113-22	L-6516	Somatic
I20-1113-23	L-6517	Somatic
I20-1113-24	L-6518	Somatic
I20-1113-25	L-6519	Somatic
I20-1113-26	L-6520	Somatic
I20-1113-27	L-6522	Somatic
I20-1113-28	L-6523	Somatic
I20-1113-29	L-6524	Somatic
I20-1113-30	L-6525	Somatic
I20-1113-31	L-6526	Somatic
I20-1113-32	L-6527	Somatic
I20-1113-33	L-6528	Somatic
I20-1113-34	L-6529	Somatic
I20-1113-35	L-6530	Somatic
I20-1113-36	L-6531	Somatic
I20-1113-37	L-6532	Somatic
I20-1113-38	L-6533	Somatic
I20-1113-39	L-6534	Somatic
I20-1113-40	L-6535	Somatic
I20-1113-41	L-6536	Somatic
I20-1113-42	L-6537	Somatic
I20-1113-43	L-6538	Somatic
I20-1113-44	L-6539	Somatic
I20-1113-45	L-6540	Somatic
I20-1113-46	L-6542	Somatic
I20-1113-47	L-6544	Somatic
I20-1113-48	L-6545	Somatic
I20-1113-49	L-6546	Somatic
I20-1113-50	L-6549	Somatic
I20-1113-51	L-6550	Somatic
I20-1113-52	L-6551	Somatic
I20-1113-53	L-6552	Somatic
I20-1113-54	L-6553	Somatic
I20-1113-55	L-6554	Somatic
I20-1113-56	L-6559	Somatic
I20-1113-57	L-6560	Somatic
I20-1113-58	L-6561	Somatic
I20-1113-59	L-6563	Somatic
I20-1113-60	L-6564	Somatic
I20-1113-61	L-6566	Somatic
I20-1113-62	L-6569	Somatic
I20-1113-63	L-6571	Somatic
I20-1113-64	L-6572	Somatic
I20-1113-65	L-6573	Somatic
I20-1113-66	L-6575	Somatic
I20-1113-67	L-6576	Somatic
I20-1113-68	L-6577	Somatic
I20-1113-69	L-6578	Somatic
I20-1113-70	L-6579	Somatic
I20-1113-71	L-6580	Somatic
I20-1113-72	L-6581	Somatic
I20-1113-73	L-6582	Somatic
I20-1113-74	L-6583	Somatic
I20-1113-75	L-6586	Somatic
I20-1113-76	L-6587	Somatic
I20-1113-77	L-6588	Somatic
I20-1113-78	L-6589	Somatic
I20-1113-79	L-6590	Somatic
I20-1113-80	L-6591	Somatic
I20-1113-81	L-6592	Somatic
I20-1113-82	L-6593	Somatic
I20-1113-83	L-6594	Somatic
I20-1113-84	L-6595	Somatic
I20-1113-85	L-6597	Somatic
I21-1125-01	L-4826	Germline
I21-1125-02	L-4827	Germline
I21-1125-03	L-4828	Germline
I21-1125-04	L-4829	Germline
I21-1125-05	L-4830	Germline
I21-1125-06	L-4831	Germline
I21-1125-07	L-4832	Germline
I21-1125-08	L-4833	Germline
I21-1125-09	L-4834	Germline
I21-1125-10	L-4835	Germline
I21-1125-11	L-4836	Germline
I21-1125-12	L-4837	Germline
I21-1125-13	L-4838	Germline
I21-1125-14	L-4839	Germline
I21-1125-15	L-4840	Germline
I21-1125-16	L-4841	Germline
I21-1125-17	L-4842	Germline
I21-1125-18	L-4843	Germline
I21-1125-19	L-4844	Germline
I21-1125-20	L-4845	Germline
I21-1125-21	L-4846	Germline
I21-1125-22	L-4847	Germline
I21-1125-23	L-4848	Germline
I21-1125-24	L-4849	Germline
I21-1125-25	L-4850	Germline
I21-1125-26	L-4851	Germline
I21-1125-27	L-4852	Germline
I21-1125-28	L-4853	Germline
I21-1125-29	L-4854	Germline
